YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,BAROMETRIC_AIR_PRESSURE
2018,1,1,0,29.4,24,69,2,250,1008.6
2018,1,2,0,29.5,24.4,63,3,40,1008.7
2018,1,3,-1,29.4,24.4,68,3,40,1009.3
2018,1,4,0,30.9,24.6,71,2,200,1009.3
2018,1,5,0,31,26,72,2,270,1009.4
2018,1,6,0,32.8,25,60,2,90,1009.3
2018,1,7,0,31.2,24.6,75,2,200,1010.5
2018,1,8,0,31,25.4,77,2,320,1010.3
2018,1,9,0,32.5,24.8,68,2,250,1010.5
2018,1,10,-1,31.8,24.8,70,2,20,1010.6
2018,1,11,0,30.5,24.5,65,4,20,1010.6
2018,1,12,0,30,23.5,59,4,20,1011.3
2018,1,13,0,30.3,22.7,63,3,360,1011.1
2018,1,14,0,30.2,23.4,70,2,250,1010
2018,1,15,0,31,23.9,62,2,20,1008.4
2018,1,16,8.6,29.7,23,76,2,360,1007.1
2018,1,17,-1,28,23.8,82,1,340,1008.9
2018,1,18,0.4,30.7,24.9,79,2,320,1009
2018,1,19,0,30.9,24,70,2,90,1009.2
2018,1,20,0,32.6,24.5,66,2,250,1008.4
2018,1,21,0,29.1,24.7,76,2,290,1007.8
2018,1,22,0.3,30.6,24.5,77,2,320,1007
2018,1,23,0,30.6,24.5,68,2,250,1006.7
2018,1,24,3.7,29.8,24.7,80,2,220,1006.3
2018,1,25,0,30.4,24.7,71,2,250,1006.6
2018,1,26,2.1,31.7,24,74,3,360,1006.2
2018,1,27,3.5,27,24.4,87,1,270,1007.7
2018,1,28,0.1,29.2,24,79,2,110,1008
2018,1,29,0.2,30,24.5,71,2,40,1008.4
2018,1,30,0,30.3,24.5,70,2,220,1008.9
2018,1,31,0,29.5,24.4,76,2,40,1010.4
2018,2,1,0,30.4,25.4,69,2,290,1009.8
2018,2,2,0,31.6,24.2,69,3,250,1010.3
2018,2,3,0,29.5,22.8,67,3,360,1010.8
2018,2,4,0,30.7,23,66,3,20,1010.5
2018,2,5,-1,29.5,23,70,4,360,1010.8
2018,2,6,0,30,22.5,65,3,20,1010.1
2018,2,7,0,28.7,22.8,74,2,360,1008.8
2018,2,8,0,28.4,22.7,72,3,250,1007.8
2018,2,9,0,29.6,24.5,70,3,290,1008.1
2018,2,10,-1,29.5,25,76,2,250,1009.8
2018,2,11,0,29,24.7,75,2,270,1010.4
2018,2,12,0,31,26,65,3,220,1011.7
2018,2,13,0,30.4,24.6,69,3,40,1012.4
2018,2,14,0,28.7,25,71,2,20,1011.9
2018,2,15,0,31.5,25.2,71,2,270,1011.1
2018,2,16,0,32.6,26,66,3,160,1009.7
2018,2,17,0,33.1,25.7,67,3,160,1009.6
2018,2,18,0,32.2,24.7,61,3,250,1010.8
2018,2,19,0,33.7,25.5,52,3,70,1010.3
2018,2,20,0,33,25.3,65,3,140,1009.5
2018,2,21,1.5,32,25.5,66,2,290,1008.7
2018,2,22,0,33.8,25.3,63,2,110,1009.5
2018,2,23,0,32.8,25.9,58,2,110,1010.7
2018,2,24,0,32,25.8,57,3,270,1011.7
2018,2,25,0,31.5,26,64,2,90,1009.9
2018,2,26,-1,31.1,26.3,67,3,250,1009.6
2018,2,27,0,31.5,25.5,69,2,250,1009.6
2018,2,28,0,32.5,26,70,2,270,1009.1
2018,3,1,0,34.4,26,69,3,110,1007.9
2018,3,2,0,34,26.5,68,3,110,1008.3
2018,3,3,0,32.3,27,66,2,140,1008.4
2018,3,4,0,33.6,26.3,63,2,20,1009.5
2018,3,5,0,33.6,27.4,58,2,90,1009.4
2018,3,6,0,33.6,27,63,3,250,1009.7
2018,3,7,7.3,32.2,26.3,69,2,250,1008.5
2018,3,8,8.6,30.5,24,74,2,250,1009
2018,3,9,0,30,24.2,72,3,160,1009.8
2018,3,10,0,29.4,23.4,67,2,90,1010.8
2018,3,11,0,30.3,23.7,60,2,90,1012
2018,3,12,0,29.4,24.9,66,3,340,1010.9
2018,3,13,0,32.3,24.2,64,3,250,1010.2
2018,3,14,0,31.4,24.5,57,2,270,1010.3
2018,3,15,0,32.1,25.8,59,3,250,1009.8
2018,3,16,0,33.4,25.2,66,2,270,1009.9
2018,3,17,0,33.5,25.5,62,3,110,1010.4
2018,3,18,0,33.1,26,64,3,140,1010.2
2018,3,19,0,32.5,25.6,62,3,160,1008.7
2018,3,20,0,33,25,68,3,270,1008.2
2018,3,21,0,32.1,25.7,68,3,250,1007.1
2018,3,22,0.9,29.9,25.2,66,2,90,1007.7
2018,3,23,0,30.2,25.3,62,3,250,1010.7
2018,3,24,0,29.7,23.6,58,2,90,1012.1
2018,3,25,0,30.9,23.7,60,2,270,1012.1
2018,3,26,0,30.3,25.6,63,2,270,1010.5
2018,3,27,0,30.4,25.2,67,2,250,1008.6
2018,3,28,0,32.1,25.4,63,2,270,1007.7
