RAINFALL,TMAX,TMIN,RH,WIND_SPEED,BAROMETRIC_AIR_PRESSURE
0,29.2,21.4,76,2,1005.7
0,29.6,23.6,67,2,1004.9
-1,29.7,23.4,69,2,1005.9
0,32.3,23,72,1,1006.2
0,32.6,24.2,69,1,1005.9
0,33.4,23,63,1,1006.1
4.4,31,23,80,1,1007.1
18,31.8,22,85,1,1006.7
0,32.9,23.1,74,1,1007.2
-1,31.4,24,71,1,1007.3
-1,29.7,24.2,68,2,1007.5
0,29.5,22,71,3,1008.1
0,30.2,21.5,63,2,1008.1
0,30,22,66,1,1007.5
0,30.5,22,65,1,1005.4
28.5,30.4,23.3,79,1,1004.5
0.4,28.9,22.9,82,1,1004.5
0.4,31.3,24,77,1,1005.9
0,30.3,22.5,70,1,1006.2
0,32,22.5,68,1,1005.4
0,30.5,23.2,77,1,1004.8
0.4,30,21.8,80,1,1004.7
0.5,29.9,21.8,75,1,1004
16,29.2,22.6,89,1,1004.1
0,31.5,22.6,73,1,1004.6
4.3,32,24,75,1,1004.1
10.3,26.2,23.4,91,1,1004.7
-1,28.5,22,77,1,1005.2
2.2,30.1,22.8,78,1,1005.5
0,31.2,22.9,73,1,1005.9
-1,28.7,22,80,1,1007.7
0,31.4,21.6,70,1,1006.6
0,31.7,21,71,1,1007.1
0,29.8,21.9,66,1,1007.5
0,32,22.9,65,2,1006.9
0.5,29.7,21.5,70,2,1007.5
-1,29.3,20.5,68,1,1006.2
0.2,27.9,22,80,2,1005
0,29.7,20.6,72,1,1004.4
0,30.2,23,68,1,1004.9
0,30.2,24.4,75,1,1006.6
0.4,30,24.1,77,1,1007.4
0,32.3,24.2,64,2,1008.8
0,30.7,23,64,2,1009.2
0.2,30,24.1,69,1,1008.5
0,31.6,23,71,1,1008
0,33.3,23.8,62,2,1006.5
0,34,22.5,67,2,1006.2
0,33.6,21.9,67,1,1007
0,33.4,21.8,56,2,1007.1
0.4,32,23,67,1,1006.1
0,33.3,23.7,66,1,1005.2
0,33.3,20.4,62,2,1006.3
0,32.8,21.9,61,1,1007.4
0,33.2,23.2,62,1,1008.4
-1,32.1,23.6,66,1,1006.6
0,32,24.6,65,1,1006.3
0.3,30.8,23.8,71,1,1006.3
0,32.8,24.3,68,1,1006
0,33.8,25.4,63,2,1004.7
-1,33.6,24.5,66,1,1004.8
0,33.4,24.2,65,2,1004.6
0,34.7,24.2,63,2,1006.1
0,34.7,24.2,59,2,1006.3
0,34.6,24,63,1,1006.5
1.6,32.6,24.5,68,1,1005.7
6.8,30.5,23,75,1,1005.9
0,30.3,23.2,73,1,1006.7
0,30,21.5,67,2,1007.9
0,30.2,19.8,64,2,1008.9
0,31,22,65,1,1007.7
0,31.2,20.6,67,1,1007
0,31.8,21,62,1,1007
0,32.4,24.4,64,1,1006.6
0,33.1,24,64,1,1006.7
0,32.9,22.8,65,1,1007.2
0,32.8,22,67,1,1006.8
0,33.5,22,60,1,1005.1
0,33.8,23,66,2,1004.8
0.9,33.2,25.5,69,2,1003.4
-1,33.8,24,65,1,1004.1
0,33.2,23.5,58,2,1006.9
